model,optimization,baseline_ms,optimized_ms,speedup,improvement_pct
resnet50,TorchScript,46.65641170501709,47.248633308410646,0.9874658469054991,-1.25341530945009
resnet50,channels_last,47.5210733795166,52.836960258483884,0.8993907512286586,-10.060924877134136
resnet50,cudnn_benchmark,53.336476211547854,52.97027935028076,1.0069132514640051,0.6913251464005121
resnet50,fp16,52.53471218109131,18.499522800445558,2.8397874230477997,183.97874230477998
mobilenet_v2,TorchScript,14.905842847824097,14.785344648361207,1.0081498404216263,0.8149840421626253
mobilenet_v2,channels_last,14.819719972610473,12.988748188018798,1.1409659928799465,14.09659928799465
mobilenet_v2,cudnn_benchmark,13.04711808204651,13.040748767852783,1.000488416294732,0.04884162947320636
mobilenet_v2,fp16,13.069315881729127,7.263760619163513,1.7992492548899794,79.92492548899794
efficientnet_b0,TorchScript,18.990331840515136,19.051803989410402,0.9967734210928564,-0.3226578907143618
efficientnet_b0,channels_last,19.193015747070312,17.330190925598146,1.10749014996255,10.749014996255003
efficientnet_b0,cudnn_benchmark,17.407728004455567,17.4796608543396,0.9958847685613893,-0.41152314386107003
efficientnet_b0,fp16,17.55219327926636,10.11666114807129,1.7349788652961486,73.49788652961486
